,description,label
11,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
12,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
13,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
15,This is a cryptocurrency giveaway scam,1
17,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately.",0
18,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately.",0
19,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately.",0
20,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately.",0
21,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately.",0
22,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately.",0
23,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately.",0
24,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately.",0
25,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately.",0
26,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately.",0
28,Dutch mail with claiming to have access to all files and saying they have access to compromising video's. Nice.,1
29,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately.",0
30,"Basic scam claiming to have installed malware and randomware and obtained compromising sexual videos. It's a blatant lie, but other people might fall for it.",1
31,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately.",0
32,Typical Email scam.,1
33,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately.",0
34,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately.",0
35,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately.",0
36,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately.",0
37,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately.",0
38,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately.",0
39,Blackmail email claiming that they have proof of me visiting adult websites.,1
40,"The scammer has a telegram app group with around 12k subscribers. Offers call of duty mobile points at low price.
I paid 48USDT for codm points but the scammer blocked me in all the chat apps.
Don't want this to happen with anybody.
https://t.me/codmcpshop : This is his telegram group link",0
41,"Just another a-hole wanting money in 48hrs from me because of alleged ""hacking of all my devices"".",1
42,"Just another a-hole wanting money in 48hrs from me because of alleged ""hacking of all my devices"".",1
43,"They approach you and promise that if you deposit an amount they can double it in almost 1 month. After convincing you with nice words and assuring you that you can get your money whenever you want, they ask you to give them permission through remote desktop software. From there they take the money from your bank and transfer it to vinanche and then to this wallet. But when you ask for your money back, they do not return it. In fact, they ask you to deposit more in order to get your capital. Phones spoken by Eleni Armaou +442033194130 and Viber app They approach you and promise that if you deposit an amount they can double it in almost 1 month. After convincing you with nice words and assuring you that you can get your money whenever you want, they ask you to give them permission through remote desktop software. From there they take the money from your bank and transfer it to vinanche and then to this wallet. But when you ask for your money back, they do not return it. In fact, they ask you to deposit more in order to get your capital. Phones spoken by Eleni Armaou +442033194130 and Viber app +447423245779.",1
44,"Release/Transfer Notice for your due Funds (US$17,500,000.00).
24Hrs Service
I received your email and is well understood, okay you should go ahead
and send the amount you said that you have now once you receive your
fund you will send the rest of it okay,
Here is the bitcoins wallet address attached that you will use and
send the amount now for us to commence on the transfer of your fund
immediately here is the bitcoins link too:  Please send  BTC to the
Bitcoin address bc1qmv479gtg9akrgf0dpuvtxh5clyse9u48az9x8t.
 bitcoin:bc1qmv479gtg9akrgf0dpuvtxh5clyse9u48az9x8t.
Acknowledge receipt of this mail message back to me immediately you
receive this bitcoins wallet address and make the payment now and
forward the payment proof to me immediately.
I will be waiting  for your response  immediately  you receive  this
massage now and understand it very well now.
The TRUTH is what we stand for.
This Official Letter is being issued to you by ""BARCLAY'S BANK PLC
(BBP)"" in collaboration with The World Bank.
Copied to:
The Accountant General
The President's office.
Yours Sincerely,
MR STANLEY COOK
TELEPHONE: +44-2043898922.
YOU CAN CALL ME ANY TIME OR TXT MASSAGE TO ME OKAY
SECURITY CODE (MRB / BH / E1820)
GOVERNOR, BARCLAYS BANK PLC LONDON UNITED KINGDOM.",1
46,Money is transferred there from coindeck.com. I was informed that my money was transferred to this wallet which is fully anonymous and they do not know who owns it nor how i can access it.,1
47,using private images to blackmail people into sending them money,1
49,Bank scam saying account was compromised,1
50,"One week later, I have already installed Trojan virus to Operating Systems of all the devices that you use to access your email.
In fact, it was not really hard at all (since you were following the links from your inbox emails).
All ingenious is simple. =)
This software provides me with access to all the controllers of your devices (e.g., your microphone, video camera and keyboard).
I have downloaded all your information, data, photos, web browsing history to my servers.
I have access to all your messengers, social networks, emails, chat history and contacts list.
My virus continuously refreshes the signatures (it is driver-based), and hence remains invisible for antivirus software.",1
51,"This is your very last warning.

I got into your computer system through the Wireless device you were
connected to.

A couple of weeks prior, I gotten to the gadgets that you utilized to get
on the net.

All the data from your devices was immediately copied to my machines.
...
Let's fix it this fashion: you transfer me 1200 $ (usd) thru btc
equivalent at the moment of transaction), and I will right away remove all
of your info from my computers.",1
53,This is a cryptocurrency giveaway scam,1
54,This is a cryptocurrency giveaway scam,1
55,This is a cryptocurrency giveaway scam,1
56,"Your system has been hacked with a trojan virus. It has penetrated your device through adult portals that you visit.

Some spicy videos containing the malicious code activated immediately after switching on. All data has already been copied to my server.",1
57,"I am a programmer and hacked your computer 3 months ago. I kept saving information all the time, such as: browsing history, screen recordings, contacts, messages and much more.

I already wanted to forget you, but recently I saw something interesting on your desktop. I'm talking about the day you visited a porn site. I decided to record video from the webcam and desktop. Now I have a video of you masturbating yourself. You know what I mean😉

I connected to the webcam remotely, and turned off the indicator so that you would not notice anything.

I have already written down all your contacts from the address book. All contacts from friends, acquaintances, relatives. All this will be with me.

I am ready to forget about all this and completely stop accessing your computer and email. I guarantee I will not send these videos and delete all archives with them. After that I will leave and no longer bother you, but for that I want to have $500 worth of bitcoins in my wallet. You have 48 hours after reading this email. I still control your email and computer - and I know when you open them and read them.

Don't try to change your email password, everything is under control. Do not try to contact me and answer this letter. I sent it to you from your email address. Take a look at the sender, you will see that I have complete control over your email and your computer.",1
58,email saying we have access to you device with spoofed email adres looks like it comes from yourself. asks for bitcoin or will share supposed recorded mastrubation video's,1
59,"All your data is a backed up. You must pay 0.03 BTC to 1322TfVUsgwNkWupVwEdceyRYbEZeN9qCu 48 hours for recover it. After 48 hours expiration we will leaked and exposed all your data. In case of refusal to pay, we will contact the General Data Protection Regulation, GDPR and notify them that you store user data in an open form and is not safe. Under the rules of the law, you face a heavy fine or arrest and your base dump will be dropped from our server! You can buy bitcoin here, does not take much time to buy https://localbitcoins.com or https://buy.moonpay.io/ After paying write to me in the mail with your DB IP: dbmaster+1bcj1@onionmail.org and you will receive a link to download your database dump.",0
60,"quote
system has been hacked with a trojan virus. I have full access to your list of contacts and your social network profile. I can send this video from your email or the
messengers to all over the world.If you want to avoid this then
you just have to do one simple step.
Simply transfer 1500 EUR (USD) = 0.17422602 BTC to the Bitcoin
wallet: 1B33LTohL4pWrZsjSpzLYjZ6WorWkwnoGE
(copy & paste address - it's case sensitive)
unquote",1
61,"Went to buy some football t shirts,  turned out to be a scam and a con asking for more BTC when we agreed . Its a scam con",1
62,@the_melissalin_ is a bitcoin scammer on Instagram,1
63,"Sends a (Dutch, translated) message, blackmailing to release some video and claiming address has 'hacked' the account.",1
65,"Mail content: 
----------------
I got terrible information for you personally.

Some time ago I got entry to your gadgets.
Following that, I started keeping track of your activity.

I built a Trojan on the systems of all devices that you utilize to reach the Internet.
This particular program offers me admittance to all of your devices.

I have loaded all your information, pictures, and searching history to my own servers.
I have connection to all your files, communication messengers, social media, contact information, e-mail and so on.

My computer virus up-dates signatures and stays undetectable to ant-virus applications.
Whilst gathering information about you, I came across you're a good fan of grownup sites and are also enjoying exciting clips while experiencing so much fun.

I was capable to record some of your filthy moments as you jack off & achieve male orgasms.

In case you have any doubts, I am able to generate a couple of mouse clicks and video clips are going to be shown to everyone you know.

And also I am able to publish all your letters, personal photos, and all your private information on the net.

I can harm your status forever.
I believe you really do not wish this to happen, given the nature of the video you love to watch, do you know what I'm talking about, it will be a real disaster for you.

Now let's resolve that by doing this: you send me 1000 $ (in bitcoin corresponding to the trade price during the time of transfer), & I will immediately remove everything.
Afterward, we'll forget about one another.
I additionally guarantee to de-activate & get rid of all malware from your gadgets.

Keep in mind that I usually hold my own word of mouth.
This is my btc address: bc1ql85nu4sj4ea4hd5ymfw6k4jrh793r99l3w9e2l
You have Two work days from the moment you view this particular e mail.
If you don't send cash, your videos and all your data will be published on the web for all individuals as well as your friends and family.",1
66,"HELLO!

YOUR REMOTE STORAGE WAS COMPROMISED.

YOUR FILES ARE IN OUR POSSESSION.
FOR THE MOMENT ALL YOUR FILES AND FOLDERS ARE SAFE. THEY HAVE BEEN MOVED TO OUR SECURE SERVERS AND ENCRYPTED. IF YOU WANT YOUR FILES BACK OR DO NOT WANT THEM LEAKED PLEASE SEND 0.06 BITCOIN TO THIS BITCOIN WALLET:

1Crpgx4PXu3SSirsJw1u1HrWj5bTvRnL5o

YOU HAVE UNTIL THE 10th OF MARCH 2020 TO MAKE THE PAYMENT OR YOUR FILES WILL BE AUTO-DELETED FROM OUR SERVERS, LEAKED OR SOLD.

YOUR UNIQUE ID IS: xxx.xxx.xxx.xxx

PLEASE EMAIL US YOUR ID AND PAYMENT CONFIRMATION TO: 

emc@mail2v.com


AFTER THE PAYMENT CONFIRMATION YOU WILL RECEIVE INSTRUCTIONS ON HOW TO DOWNLOAD ALL YOUR FILES BACK.

How to obtain Bitcoin:
The easiest way to buy bitcoin is the LocalBitcoins site. 
https://localbitcoins.com/buy_bitcoins

!!! ATTENTION !!!

Even if all your files are backups and you have a copy of them, do not disregard this message.
Considering the huge amount of sensitive and private information we harvested, we reserve the right to LEAK or SELL all your data, if no payment is made.




THANK YOU FOR YOUR COOPERATION.


EMC SECURITY",0
67,"HELLO!

YOUR REMOTE STORAGE WAS COMPROMISED.

YOUR FILES ARE IN OUR POSSESSION.
FOR THE MOMENT ALL YOUR FILES AND FOLDERS ARE SAFE. THEY HAVE BEEN MOVED TO OUR SECURE SERVERS AND ENCRYPTED. IF YOU WANT YOUR FILES BACK OR DO NOT WANT THEM LEAKED PLEASE SEND 0.06 BITCOIN TO THIS BITCOIN WALLET:

1Crpgx4PXu3SSirsJw1u1HrWj5bTvRnL5o

YOU HAVE UNTIL THE 10th OF MARCH 2020 TO MAKE THE PAYMENT OR YOUR FILES WILL BE AUTO-DELETED FROM OUR SERVERS, LEAKED OR SOLD.

YOUR UNIQUE ID IS: xxx.xxx.xxx.xxx

PLEASE EMAIL US YOUR ID AND PAYMENT CONFIRMATION TO: 

emc@mail2v.com


AFTER THE PAYMENT CONFIRMATION YOU WILL RECEIVE INSTRUCTIONS ON HOW TO DOWNLOAD ALL YOUR FILES BACK.

How to obtain Bitcoin:
The easiest way to buy bitcoin is the LocalBitcoins site. 
https://localbitcoins.com/buy_bitcoins

!!! ATTENTION !!!

Even if all your files are backups and you have a copy of them, do not disregard this message.
Considering the huge amount of sensitive and private information we harvested, we reserve the right to LEAK or SELL all your data, if no payment is made.




THANK YOU FOR YOUR COOPERATION.


EMC SECURITY",0
68,These www.Hedgerecoveryexpert.com N www.reportfraudnetwork.com Are inhumans bastards n scammers to invest in terror in Europe. Stay away from these terrorist,0
69,scammed by a person impersonating someone from the Federal Trade Commission,1
70,Bitcoin address is same and i think they send this to many receviers. What was written in mail was not accurate.,1
72,"I have to share bad news with you. Approximately few months ago I have gained access to your devices, which you use for internet browsing. After that, I have started tracking your internet activities. Some time ago I hacked you and got access to your email accounts XXXXXXXXXX . Obviously, I have easily hack to log in to your email. Your password: XXXXXXXX One week later, I have already installed Trojan virus to Operating Systems of all the devices that you use to access your email. In fact, it was not really hard at all (since you were following the links from your inbox emails). All ingenious is simple. =) This software provides me with access to all the controllers of your devices (e.g., your microphone, video camera and keyboard). I have downloaded all your information, data, photos, web browsing history to my servers. I have access to all your messengers, social networks, emails, chat history and contacts list. My virus continuously refreshes the signatures (it is driver-based), and hence remains invisible for antivirus software. Likewise, I guess by now you understand why I have stayed undetected until this letter... While gathering information about you, I have discovered that you are a big fan of adult websites. You really love visiting porn websites and watching exciting videos, while enduring an enormous amount of pleasure. Well, I have managed to record a number of your dirty scenes and montaged a few videos, which show the way you masturbate and reach orgasms.",1
73,This is not the genuine community - this is a user trying to appear on behalf of the genuine community and get people to pay Crypto into their wallet.,1
74,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately.",0
75,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately.",0
76,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
77,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
78,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
79,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
80,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
81,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
82,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
83,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
84,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
85,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
86,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
87,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
88,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
89,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
90,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
91,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
92,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
93,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
94,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
95,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
96,"I got scammed $150k worth of bitcoin to a Fake unregulated binary option broker company after paying several fees to get my funds off that platform, I came across an article online about a fund recovery company whom I got in contact with, in nothing less than 96hrs I got my funds recovered back to my wallet account with the help of this site….>> www.Hedgerecoveryexpert.com and I would advise anyone who got ripped to get in contact with them for a refund immediately.",0
97,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
98,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
99,"Good work deserves recommendation...
i lost over 2.3 BTC on Instagram bitcoin scam.. Right about 2 weeks after my ordeal with them I tried using the recommendation from someone on one of the comment section www.reportfraudnetwork.com I was able to get all my money back in less than 48 hours.. Contact www.reportfraudnetwork.com to recover all your stolen bitcoins free of charge",0
